OSM ID,Functionality,Original Global Efficiency,New Global Efficiency,Change in Efficiency,Normalized Efficiency Change,Relative Efficiency Change,Absolute Relative Efficiency Change,Norm_Func,Norm_Eff,Criticality Score,Buffer Distance (km)
31030379,52.24,0.005242015,0.005192822,-4.92E-05,4.92e-05,-0.009385704,0.009385704,0.8778255184008967,0.013944738804863752,0.44588512860288027,5
319132720,58.42,0.007384308,0.006937557,-0.000446751,0.000446751,-0.06050005,0.060500049564563126,0.7623762376237624,0.12729057516986864,0.4448334063968155,5
306578527,52.31,0.002465161,0.002463482,-1.68E-06,1.68e-06,-0.000681497,0.000681497,0.8765178404632916,0.000396303,0.43845707180533994,5
26332219,59.55,0.023940422,0.023484602,-0.00045582,0.00045582,-0.019039765,0.019039764629044553,0.7412665794881377,0.12987623937394366,0.43557140943104067,5
400432237,61.42,0.014990136,0.014414998,-0.000575138,0.000575138,-0.038367764,0.038367763974923245,0.7063328974406875,0.16389501558982453,0.43511395651525603,5
432254860,60.87,0.024098223,0.023564402,-0.000533821,0.000533821,-0.022151882,0.022151882319289683,0.7166075098075846,0.15211511836634148,0.43436131408696305,5
328333141,55.22,0.003991307,0.003834373,-0.000156934,0.000156934,-0.03931895,0.03931895,0.8221558,0.044660799,0.43340829960238303,5
584179479,56.76,0.02318877,0.022943672,-0.000245098,0.000245098,-0.010569685,0.010569685239881202,0.7933868858583972,0.069797252,0.431592069,5
107099995,53.39,0.002446712,0.002445049,-1.66E-06,1.66e-06,-0.000678462,0.000678462,0.8563422379973846,0.000390601,0.42836641947060666,5
26347762,61.91,0.013583066,0.013043198,-0.000539868,0.000539868,-0.039745666,0.039745665669297346,0.6971791518774519,0.15383917961256946,0.4255091657450107,5
298413217,56.83,0.014847812,0.014660354,-0.000187458,0.000187458,-0.012625295,0.012625294555184291,0.7920792079207921,0.053363502,0.4227213548562122,5
26347762,62.34,0.013583066,0.013043198,-0.000539868,0.000539868,-0.039745666,0.039745665669297346,0.6891462731178778,0.15383917961256946,0.4214927263652236,5
32352254,54.66,0.002465804,0.002429965,-3.58E-05,3.58e-05,-0.014518591,0.014518591096453735,0.8326172239865497,0.010124262419969573,0.4213707432032596,5
32352254,54.67,0.002465804,0.002429965,-3.58E-05,3.58e-05,-0.014518591,0.014518591096453735,0.8324304128526061,0.010124262419969573,0.42127733763628783,5
143085611,54.81,0.006224705,0.006186673,-3.80E-05,3.8e-05,-0.006104707,0.006104707,0.8298150569773959,0.010751504811519364,0.4202832808944576,5
143084368,54.59,0.005083018,0.005061107,-2.19E-05,2.19e-05,-0.004308464,0.004308464,0.8339249019241547,0.006161231,0.42004306643512074,5
143084369,54.34,0.003222373,0.00322098,-1.39E-06,1.39e-06,-0.000431359,0.000431359,0.8385951802727443,0.000313621,0.4194544007342596,5
970235538,55.07,0.007911451,0.007862869,-4.86E-05,4.86e-05,-0.006142995,0.006142995,0.8249579674948627,0.013773672698077446,0.4193658200964701,5
32352251,54.7,0.005669314,0.005645186,-2.41E-05,2.41e-05,-0.004250955,0.004250955,0.8318699794507752,0.006788473,0.4193292263942059,5
32352251,54.71,0.005669314,0.005645186,-2.41E-05,2.41e-05,-0.004250955,0.004250955,0.8316831683168318,0.006788473,0.41923582082723415,5
328333190,54.5,0.00468434,0.004676378,-7.96E-06,7.96e-06,-0.001699279,0.001699279,0.835606202,0.002186795,0.41889649859736594,5
358385862,54.99,0.007421959,0.007394749,-2.72E-05,2.72e-05,-0.003664801,0.003664801,0.8264524565664113,0.007672315,0.41706238572788856,5
423009416,55,0.010534931,0.010507189,-2.77E-05,2.77e-05,-0.002629348,0.002629348,0.8262656454324678,0.00781487,0.41704025770541114,5
26296167,59.79,0.012561786,0.012221992,-0.000339794,0.000339794,-0.027049816,0.027049816005462916,0.7367831122734916,0.096796046,0.4167895790687276,5
1056870516,64.48,0.021384255,0.020739008,-0.000645247,0.000645247,-0.030173929,0.030173929369996758,0.6491686904539511,0.18388380505762647,0.4165262477557888,5
26296167,59.89,0.012561786,0.012221992,-0.000339794,0.000339794,-0.027049816,0.027049816005462916,0.7349150009340557,0.096796046,0.41585552339900966,5
975243773,56.97,0.017277975,0.01713631,-0.000141666,0.000141666,-0.008199225,0.008199225,0.789463852,0.040307737,0.4148857942836417,5
686173366,59.95,0.013024806,0.012710741,-0.000314065,0.000314065,-0.024112835,0.024112835,0.7337941341303942,0.089460446,0.4116272901125915,5
686173366,59.98,0.013024806,0.012710741,-0.000314065,0.000314065,-0.024112835,0.024112835,0.7332337007285635,0.089460446,0.4113470734116762,5
432254869,60.82,0.028377985,0.028022067,-0.000355918,0.000355918,-0.012542046,0.012542046237602845,0.7175415654773025,0.10139316237366768,0.4094673639254851,5
28512639,56.48,0.00430836,0.004247314,-6.10E-05,6.1e-05,-0.01415852,0.014158519715158437,0.7986175976088176,0.017309038904994446,0.407963318,5
416511269,59.35,0.009346427,0.009104094,-0.000242333,0.000242333,-0.025927876,0.025927875968003604,0.7450028021670092,0.069008923,0.4070058624875696,5
