city ,city_latitude,city_longitude,bridge_start_lat,bridge_start_lon,bridge_end_lat,bridge_end_lon,node,city_closeness_before_removal,centrality_after_removal
Cagnano Varano,41.8235505,15.7790862,41.838162,15.72771,41.838082,15.728554,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.85946,15.834921,41.859521,15.834928,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.836479,15.814057,41.83638,15.815671,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.836265,15.806762,41.836308,15.807059,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.850567,15.832328,41.850834,15.832374,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.866273,15.664665,41.866141,15.665975,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.836819,15.734399,41.836677,15.735668,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.838197,15.823432,41.838327,15.823623,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.878567,15.839833,41.878595,15.839865,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.840248,15.825699,41.840421,15.825833,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.846381,15.831096,41.846596,15.831218,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.910225,15.912026,41.910211,15.91212,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.833706,15.751514,41.833725,15.751528,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.888615,15.85143,41.88865,15.851492,"41.823647, 15.779151",6.54E-06,6.54E-06
Cagnano Varano,41.8235505,15.7790862,41.83643,15.80674,41.83645,15.80683,"41.823647, 15.779151",6.54E-06,6.54E-06
Candela,41.137925,15.514654,41.154749,15.540625,41.154749,15.540625,"41.137850, 15.514776",2.02E-06,2.02E-06
Candela,41.137925,15.514654,41.154197,15.532378,41.154212,15.532567,"41.137850, 15.514776",2.02E-06,2.02E-06
Candela,41.137925,15.514654,41.150358,15.47687,41.150655,15.47854,"41.137850, 15.514776",2.02E-06,2.02E-06
Candela,41.137925,15.514654,41.148327,15.508003,41.148094,15.509222,"41.137850, 15.514776",2.02E-06,2.02E-06
Candela,41.137925,15.514654,41.157485,15.58148,41.157485,15.58148,"41.137850, 15.514776",2.02E-06,2.02E-06
Candela,41.137925,15.514654,41.155274,15.548501,41.155274,15.548501,"41.137850, 15.514776",2.02E-06,2.02E-06
